Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target
Id_6o859785c2,2022-02-24,2,unemployed,1186.0,Urban,Gauteng,1.0,,,3.0,,30 - 39 %,40 - 49 %,,,1,1,1994,7,0
Id_7nma832cqs,2023-02-09,4,wage employed,61.0,Urban,Gauteng,1.0,,,4.0,,40 - 49 %,,40 - 49 %,,0,1,2000,1,0
Id_j2its5w6qo,2023-02-08,4,unemployed,401.0,Suburb,Limpopo,,,,,,,,,,0,1,2001,10,0
Id_daalwjcazp,2023-02-13,4,unemployed,67.0,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2003,11,0
Id_wbnw35rvs2,2022-03-07,2,studying,,Urban,Western Cape,1.0,0.0,0.0,2.0,,50 - 59 %,40 - 49 %,,,0,1,2000,1,0
Id_gqbituoecf,2023-02-13,4,unemployed,67.0,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2004,6,0
Id_levl92lmn7,2023-02-10,4,wage employed,304.0,Urban,Northern Cape,1.0,0.0,0.0,,,50 - 59 %,50 - 59 %,,,0,1,2000,1,1
Id_bjtvostcww,2023-02-17,4,unemployed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,40 - 49 %,,50 - 59 %,,,0,1,2000,1,1
Id_yvzil0ca5k,2021-08-11,1,studying,,Urban,Gauteng,0.0,0.0,0.0,,,,,,,1,1,2000,4,1
Id_bqjzb9e2sp,2022-03-18,2,wage employed,125.0,Suburb,Limpopo,1.0,0.0,0.0,,30 - 39 %,,50 - 59 %,,50 - 59 %,0,1,2000,1,0
Id_trpadp7n0e,2023-03-06,4,studying,,Urban,Western Cape,0.0,0.0,0.0,3.0,,,,,,1,1,2004,8,0
Id_1krlaslg3m,2023-02-13,4,studying,,Urban,Eastern Cape,1.0,0.0,0.0,4.0,,40 - 49 %,50 - 59 %,,,0,1,1994,11,1
Id_5we1xxc82q,2022-08-11,3,other,,Rural,Limpopo,0.0,,,1.0,,,,,,0,1,1992,3,1
Id_h31135txix,2022-02-23,2,studying,,Urban,Gauteng,1.0,,,2.0,,0 - 29 %,,40 - 49 %,,1,1,2001,1,0
Id_7nq9t8h22c,2022-03-11,2,wage employed,119.0,Urban,Free State,1.0,0.0,0.0,,0 - 29 %,,50 - 59 %,,,1,1,2000,1,0
Id_60bak15b2g,2022-08-01,3,unemployed,583.0,Rural,Limpopo,1.0,0.0,0.0,2.0,,30 - 39 %,50 - 59 %,,,1,1,1999,5,0
Id_7zp71bqshg,2023-02-08,4,unemployed,401.0,Rural,Mpumalanga,1.0,0.0,0.0,,,60 - 69 %,40 - 49 %,,,0,1,2000,5,0
Id_m98a9kc6us,2023-02-21,4,unemployed,401.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,,40 - 49 %,50 - 59 %,,,0,1,2002,7,0
Id_4hhmh7p1pe,2023-02-07,4,wage employed,396.0,Urban,Mpumalanga,1.0,,,4.0,30 - 39 %,,,50 - 59 %,0 - 29 %,1,1,2000,1,0
Id_yuwtc72lrc,2023-02-22,4,unemployed,707.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,50 - 59 %,,60 - 69 %,,30 - 39 %,0,1,1996,8,0
Id_6jmt7mdvzq,2022-07-29,3,other,,Rural,Limpopo,0.0,,,,,,,,,0,1,1993,7,1
Id_fo3o68q6zj,2023-02-13,4,self employed,,Urban,North West,1.0,0.0,0.0,3.0,,40 - 49 %,30 - 39 %,,,0,1,2003,9,1
Id_h3g4kwf6sb,2022-03-15,2,unemployed,1205.0,Urban,Limpopo,1.0,1.0,0.0,1.0,,50 - 59 %,60 - 69 %,,,1,1,2000,1,0
Id_9r91y11bh9,2022-08-10,3,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,2004,2,0
Id_u4psfhi3pe,2022-03-03,2,studying,,Urban,KwaZulu-Natal,1.0,0.0,1.0,4.0,0 - 29 %,,50 - 59 %,,,1,1,2000,1,0
Id_m0tzon3dlw,2022-09-03,3,unemployed,309.0,Urban,Gauteng,1.0,0.0,0.0,4.0,,50 - 59 %,40 - 49 %,,,1,1,1992,5,0
Id_spgk0jd93e,2023-02-17,4,wage employed,59.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,0 - 29 %,,60 - 69 %,,0 - 29 %,1,1,2000,1,0
Id_bbahtzvpl8,2021-08-19,1,studying,,Urban,Eastern Cape,,,,,,,,,,0,1,2001,4,0
Id_adthc97v63,2021-08-19,1,studying,,Urban,Western Cape,,,,,,,,,,1,1,1999,10,0
Id_h3nbp8l8nx,2023-03-08,4,unemployed,2256.0,Rural,Limpopo,0.0,,,,,,,,,1,1,1994,6,0
Id_3edx8npgyr,2023-03-14,4,unemployed,2986.0,Rural,Northern Cape,0.0,0.0,0.0,,,,,,,1,1,1995,10,0
Id_sz50wmv0v6,2023-03-02,4,unemployed,184.0,Urban,Gauteng,1.0,,,1.0,0 - 29 %,,40 - 49 %,,0 - 29 %,1,1,2000,1,0
Id_nueyy3t7nh,2023-03-02,4,studying,,Urban,Gauteng,1.0,0.0,1.0,5.0,,40 - 49 %,,50 - 59 %,,1,1,2000,1,1
Id_zuvbs6aihl,2022-08-08,3,unemployed,644.0,Suburb,KwaZulu-Natal,1.0,1.0,0.0,3.0,80 - 100 %,,60 - 69 %,,70 - 79 %,0,1,1995,9,0
Id_5fr0lqothg,2022-03-03,2,studying,,Urban,Gauteng,1.0,,1.0,5.0,,60 - 69 %,,60 - 69 %,,1,1,2000,1,1
Id_bol3k3wkl1,2023-02-13,4,studying,,Urban,Gauteng,1.0,,,,40 - 49 %,,50 - 59 %,,40 - 49 %,0,1,2000,1,0
Id_dssc0ea0vi,2023-02-08,4,unemployed,273.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,,60 - 69 %,50 - 59 %,,,0,1,2002,5,1
Id_0wc81ljcou,2022-03-15,2,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,40 - 49 %,,60 - 69 %,,,1,1,2000,1,1
Id_fg3tli4uga,2023-02-17,4,wage employed,273.0,Urban,North West,1.0,0.0,0.0,2.0,,40 - 49 %,50 - 59 %,,,1,1,1997,3,0
Id_j86tj7hbal,2021-08-18,1,studying,,Urban,KwaZulu-Natal,1.0,,,3.0,0 - 29 %,,70 - 79 %,,,1,1,1993,12,0
Id_y0o8gpsdag,2022-08-03,3,unemployed,1984.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,3.0,,,,,,1,1,1991,3,0
Id_n0wxp4yl7o,2022-09-03,3,unemployed,248.0,Suburb,Limpopo,1.0,0.0,0.0,2.0,,50 - 59 %,60 - 69 %,,,1,1,1998,11,0
Id_6xl6wv2mwd,2022-03-04,2,unemployed,798.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,60 - 69 %,,60 - 69 %,,50 - 59 %,1,1,2000,1,0
Id_cebpdobvqm,2023-03-27,4,wage employed,31.0,Urban,Mpumalanga,,,,,,,,,,1,1,1994,5,0
Id_33k4yejdu7,2022-07-29,3,studying,,Suburb,Gauteng,1.0,0.0,0.0,3.0,50 - 59 %,,,50 - 59 %,30 - 39 %,1,1,2002,9,0
Id_q0t88re0xa,2023-03-13,4,unemployed,429.0,Urban,Free State,,,,,,,,,,1,1,1998,10,0
Id_lyb0hna28v,2022-03-17,2,wage employed,95.0,Urban,Western Cape,1.0,0.0,0.0,,,40 - 49 %,,40 - 49 %,,0,1,2000,1,1
Id_l2m4t2nkpo,2023-02-14,4,wage employed,273.0,Rural,Gauteng,1.0,0.0,0.0,1.0,,40 - 49 %,50 - 59 %,,,0,1,2000,1,0
Id_p0mzggtf8f,2021-08-18,1,unemployed,974.0,Urban,KwaZulu-Natal,1.0,,,5.0,,40 - 49 %,50 - 59 %,,,1,1,1999,6,0
Id_m8p8fryb2z,2023-03-17,4,unemployed,1009.0,Rural,Limpopo,0.0,0.0,0.0,1.0,,,,,,1,1,1996,3,0
Id_0j9fh0d1jg,2023-03-20,4,unemployed,1890.0,Rural,Limpopo,,,,,,,,,,1,1,1994,5,0
Id_span0zo82s,2022-02-25,2,wage employed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,1994,3,1
Id_wxgvcd5k8r,2022-03-18,2,unemployed,0.0,Suburb,Eastern Cape,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,,0,1,2000,1,1
Id_nz21tfi905,2023-02-13,4,unemployed,281.0,Suburb,Northern Cape,,,,,,,,,,1,1,1997,2,0
Id_slv6oob5n6,2022-03-14,2,unemployed,828.0,Suburb,Mpumalanga,0.0,0.0,0.0,1.0,,,,,,1,1,2000,1,0
Id_gsilqzgpwz,2023-02-08,4,studying,,Urban,Limpopo,,,,,,,,,,0,1,1996,9,0
Id_m7m162sqkw,2021-08-17,1,wage employed,0.0,Urban,Free State,1.0,,,4.0,50 - 59 %,,50 - 59 %,,40 - 49 %,0,1,1992,10,0
Id_b08k8p9rqu,2023-03-20,4,wage employed,61.0,Urban,Western Cape,0.0,0.0,0.0,2.0,,,,,,1,1,1999,6,1
Id_imrl487iyu,2021-08-11,1,wage employed,0.0,Urban,Gauteng,0.0,,,2.0,,,,,,1,1,1986,10,0
Id_mdqtl3vdve,2023-02-10,4,unemployed,730.0,Urban,Free State,1.0,,,2.0,,,50 - 59 %,,,0,1,2000,1,1
Id_xg0l2q8z58,2022-08-12,3,studying,,Urban,Gauteng,1.0,,,5.0,,,,,,1,1,2001,10,0
Id_oentzh28on,2023-03-06,4,studying,,Rural,Eastern Cape,1.0,0.0,0.0,1.0,60 - 69 %,,60 - 69 %,,40 - 49 %,0,1,2001,4,0
Id_o3nd90871r,2022-02-25,2,wage employed,196.0,Urban,Free State,1.0,0.0,0.0,4.0,,60 - 69 %,50 - 59 %,,,1,1,1992,9,0
Id_du1ur01kqv,2023-03-14,4,unemployed,1127.0,Urban,Eastern Cape,,,,,,,,,,1,1,1989,11,1
Id_8cl4tp6kzu,2023-02-16,4,studying,,Urban,Gauteng,,,,,,,,,,0,1,2000,8,1
Id_y997h5mfq9,2022-08-08,3,unemployed,66.0,Suburb,Gauteng,0.0,0.0,0.0,,,,,,,1,1,1993,4,0
Id_os6gvn8cxv,2023-02-24,4,studying,,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,,60 - 69 %,,,0,1,2000,11,0
Id_y6jxxp2xw2,2023-02-10,4,wage employed,730.0,Urban,KwaZulu-Natal,1.0,,,,0 - 29 %,,60 - 69 %,,,0,1,2000,1,1
Id_9nlqytufam,2022-03-11,2,studying,,Urban,Gauteng,1.0,0.0,0.0,4.0,,30 - 39 %,40 - 49 %,,,1,1,2000,1,0
Id_tg1zeet3pl,2023-03-02,4,studying,,Urban,Eastern Cape,1.0,,,3.0,50 - 59 %,,50 - 59 %,,60 - 69 %,1,1,2000,1,1
Id_8o7nt2544q,2021-08-18,1,studying,,Rural,North West,1.0,,,3.0,,,,,,0,1,2000,1,0
Id_ytyrfab5z7,2022-03-01,2,unemployed,593.0,Urban,Western Cape,1.0,,1.0,2.0,,,,,,0,1,1995,5,0
Id_uhiox0jm99,2022-03-17,2,unemployed,1176.0,Suburb,Limpopo,1.0,,,1.0,,50 - 59 %,60 - 69 %,,,0,1,2000,1,0
Id_ioczu2z0yo,2023-03-23,4,studying,,Urban,Gauteng,1.0,0.0,0.0,,30 - 39 %,,60 - 69 %,,50 - 59 %,1,1,2000,4,0
Id_2x5345k6d5,2022-02-24,2,unemployed,339.0,Suburb,Eastern Cape,0.0,,,,,,,,,1,1,1994,5,0
Id_rv5old1lw3,2023-02-20,4,unemployed,36.0,Urban,Mpumalanga,1.0,0.0,0.0,5.0,40 - 49 %,,,50 - 59 %,,0,1,2003,1,0
Id_ux800ms4mu,2022-03-07,2,studying,,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2000,1,0
Id_kwc72kzbl5,2022-03-07,2,unemployed,192.0,Urban,Gauteng,1.0,0.0,0.0,5.0,,40 - 49 %,,50 - 59 %,,0,1,2000,1,1
Id_02bh4t21tf,2022-08-08,3,unemployed,248.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,60 - 69 %,,50 - 59 %,,50 - 59 %,0,1,1997,10,0
Id_9ugu0dvb8c,2023-03-03,4,studying,,Urban,Free State,,,,,,,,,,0,1,2000,1,0
Id_cpbr0geefs,2022-08-11,3,studying,,Urban,Gauteng,1.0,0.0,0.0,,30 - 39 %,,,50 - 59 %,,0,1,2003,8,0
Id_hpwytdr9ri,2023-03-01,4,unemployed,1247.0,Rural,Limpopo,0.0,0.0,0.0,1.0,,,,,,1,1,2000,1,0
Id_cpmxadltej,2023-02-13,4,studying,,Urban,Gauteng,,,,,,,,,,0,1,1996,3,0
Id_8g3fz1vgok,2023-03-17,4,wage employed,30.0,Urban,Free State,1.0,0.0,0.0,3.0,,40 - 49 %,50 - 59 %,,,1,1,2002,11,0
Id_ed0akksn7y,2022-08-04,3,wage employed,,Urban,Gauteng,1.0,0.0,0.0,3.0,,30 - 39 %,40 - 49 %,,,0,1,2000,4,0
Id_jb4pmpnkup,2022-03-04,2,self employed,220.0,Urban,KwaZulu-Natal,1.0,,,3.0,,0 - 29 %,50 - 59 %,,,1,1,2000,1,1
Id_fmvc4o7h6h,2023-03-01,4,unemployed,64.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,1.0,,30 - 39 %,30 - 39 %,,,0,1,2001,3,0
Id_54xa1mc4c3,2022-03-10,2,wage employed,149.0,Urban,Northern Cape,1.0,,,1.0,,30 - 39 %,60 - 69 %,,,1,1,2000,1,0
Id_sfpm3f4y4m,2023-02-10,4,studying,,Urban,Gauteng,1.0,0.0,0.0,,30 - 39 %,,,70 - 79 %,,1,1,2000,1,0
Id_87qtey7w9s,2022-03-07,2,wage employed,120.0,Rural,KwaZulu-Natal,1.0,,,4.0,0 - 29 %,,60 - 69 %,,,0,1,1997,4,0
Id_g64eq59hz7,2023-02-14,4,unemployed,67.0,Urban,Limpopo,1.0,0.0,0.0,3.0,,30 - 39 %,40 - 49 %,,,0,1,1999,11,0
Id_8j8nr07g99,2022-03-18,2,studying,,Urban,Mpumalanga,1.0,0.0,0.0,3.0,50 - 59 %,,60 - 69 %,,40 - 49 %,0,1,2000,1,1
Id_a5vor8sxnj,2022-08-02,3,employment programme,,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,,40 - 49 %,40 - 49 %,,0 - 29 %,1,1,1995,6,0
Id_f6u8sivl4x,2023-03-15,4,studying,,Urban,Limpopo,1.0,0.0,0.0,,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,2000,7,0
Id_klk5e034bg,2022-08-04,3,wage employed,,Urban,Gauteng,1.0,0.0,0.0,3.0,,40 - 49 %,40 - 49 %,,,1,1,1993,3,0
Id_9ymbrjd7yv,2022-03-02,2,studying,,Urban,Gauteng,1.0,0.0,0.0,3.0,,,,,,0,1,2002,12,0
Id_v7imqdu1a0,2022-02-28,2,unemployed,1524.0,Urban,KwaZulu-Natal,1.0,,,1.0,,,,,,0,1,1993,11,0
Id_1vpzdseya7,2023-03-13,4,studying,,Urban,Gauteng,,,,,,,,,,1,1,1995,5,1
Id_fzyfniagnj,2022-02-25,2,wage employed,3165.0,Suburb,Free State,1.0,,1.0,1.0,,40 - 49 %,40 - 49 %,,,1,1,1990,9,0
Id_lesx0bkcgl,2023-02-13,4,unemployed,36.0,Urban,Gauteng,1.0,0.0,1.0,1.0,,60 - 69 %,70 - 79 %,,,0,1,2000,1,0
Id_o7ojzf8kcu,2022-09-03,3,unemployed,1193.0,Urban,Western Cape,0.0,,1.0,5.0,,,,,,0,1,1994,4,0
Id_hiepq1djfa,2022-08-02,3,other,,Suburb,Eastern Cape,1.0,0.0,0.0,3.0,,40 - 49 %,60 - 69 %,,,1,1,2003,4,1
Id_8en7brkkzi,2023-03-14,4,studying,,Urban,Limpopo,1.0,0.0,0.0,3.0,,30 - 39 %,50 - 59 %,,,1,1,2000,8,0
Id_2evca1q7rz,2022-03-02,2,unemployed,54.0,Suburb,Gauteng,,,,,,,,,,0,1,1999,11,0
Id_ebg3otm6is,2022-08-15,3,studying,,Urban,Free State,1.0,0.0,0.0,,0 - 29 %,,40 - 49 %,,0 - 29 %,1,1,1998,7,0
Id_p48tmrtufp,2023-02-16,4,studying,,Urban,Western Cape,,,,,,,,,,0,1,1999,11,0
Id_xkm8wetom9,2022-03-16,2,unemployed,1160.0,Rural,Limpopo,1.0,,,1.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,2000,1,0
Id_hpzj6qszld,2023-02-14,4,studying,,Suburb,Mpumalanga,0.0,,,,,,,,,0,1,2002,8,0
Id_nelyndpx1o,2023-03-22,4,studying,,Urban,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,,70 - 79 %,,40 - 49 %,1,1,2004,2,0
Id_kgg71hspst,2023-02-16,4,unemployed,1163.0,Urban,KwaZulu-Natal,1.0,,,,,30 - 39 %,40 - 49 %,,,0,1,2000,1,0
Id_bvbqhxwkz7,2023-02-20,4,unemployed,1497.0,Urban,Free State,1.0,0.0,0.0,1.0,,40 - 49 %,50 - 59 %,,,0,1,1997,4,0
Id_kquffoz1v9,2022-08-02,3,wage employed,,Urban,North West,,,,,,,,,,1,1,1988,7,0
Id_4sudgrh3bb,2022-08-12,3,unemployed,1313.0,Urban,Eastern Cape,1.0,,,,40 - 49 %,,40 - 49 %,,30 - 39 %,0,1,1995,9,0
Id_8jac2rg92m,2022-09-03,3,other,,Urban,Eastern Cape,1.0,,,3.0,,40 - 49 %,50 - 59 %,,,1,1,1999,12,1
Id_a759mujfwe,2023-02-13,4,studying,,Urban,Free State,1.0,1.0,0.0,1.0,80 - 100 %,,60 - 69 %,,80 - 100 %,0,1,2000,1,0
Id_ic9nhiy918,2022-08-01,3,unemployed,614.0,Urban,Free State,,,,,,,,,,0,1,1999,1,0
Id_7b65639eg4,2022-08-10,3,unemployed,828.0,Suburb,Gauteng,1.0,0.0,0.0,3.0,,30 - 39 %,60 - 69 %,,,1,1,1986,11,0
Id_plvfd3ejqk,2022-03-02,2,wage employed,75.0,Urban,Free State,1.0,,,4.0,,50 - 59 %,50 - 59 %,,,0,1,2002,7,0
Id_4zwewy8i7s,2023-02-21,4,unemployed,5.0,Suburb,KwaZulu-Natal,,,,,,,,,,0,1,1993,11,0
Id_sxegilvrhi,2023-02-13,4,unemployed,311.0,Urban,KwaZulu-Natal,1.0,,,,0 - 29 %,,40 - 49 %,,30 - 39 %,0,1,2000,1,0
Id_2sdunljhqo,2022-02-25,2,studying,,Urban,Gauteng,,,,,,,,,,0,1,2003,1,0
Id_v7ro6ibymz,2022-03-08,2,unemployed,2801.0,Urban,KwaZulu-Natal,1.0,,,3.0,50 - 59 %,,60 - 69 %,,0 - 29 %,0,1,1986,4,1
Id_2q9ljt9ubm,2022-03-09,2,unemployed,1168.0,Suburb,Gauteng,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,30 - 39 %,1,1,1999,12,0
Id_cztc0vrkma,2023-02-09,4,unemployed,432.0,Urban,Limpopo,1.0,0.0,0.0,2.0,,30 - 39 %,60 - 69 %,,,1,1,1995,12,0
Id_3y0kfdsjzv,2023-03-16,4,unemployed,64.0,Urban,Mpumalanga,0.0,0.0,0.0,1.0,,,,,,1,1,1998,9,0
Id_dmsras036v,2023-03-22,4,unemployed,795.0,Suburb,Limpopo,0.0,0.0,0.0,3.0,,,,,,1,1,1991,5,0
Id_t1va2k91dz,2022-08-01,3,wage employed,,Rural,Mpumalanga,1.0,0.0,0.0,4.0,,30 - 39 %,50 - 59 %,,,1,1,1997,8,0
Id_fjjvmufhrh,2022-03-01,2,unemployed,1066.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,0.0,0 - 29 %,,,40 - 49 %,30 - 39 %,0,1,1992,8,1
Id_rrozp4a5v1,2021-08-18,1,wage employed,0.0,Urban,Gauteng,0.0,,,3.0,,,,,,0,1,1992,9,0
Id_fz5vs1laqb,2023-02-08,4,unemployed,36.0,Urban,Limpopo,1.0,1.0,0.0,2.0,0 - 29 %,,60 - 69 %,,,1,1,1999,4,0
Id_pgszt2mipn,2022-03-15,2,wage employed,760.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,,50 - 59 %,,30 - 39 %,1,1,2000,1,0
Id_uipdhqs8dx,2023-02-09,4,unemployed,1407.0,Rural,North West,0.0,0.0,0.0,3.0,,,,,,0,1,1996,11,0
Id_c3co601i2a,2023-02-22,4,studying,,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2001,1,0
Id_3vj9xb99r0,2022-07-29,3,other,,Rural,Limpopo,,,,,,,,,,0,1,1991,2,1
Id_i9vx5jlw9y,2022-08-12,3,self employed,,Urban,KwaZulu-Natal,1.0,,,4.0,,,,,,0,1,2002,8,0
Id_t2qpwulagx,2023-02-17,4,wage employed,183.0,Urban,Mpumalanga,,,,,,,,,,0,1,2002,1,0
Id_ae0l1yyib4,2023-02-09,4,unemployed,61.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,,40 - 49 %,60 - 69 %,,,1,1,1997,7,1
Id_rycimwkdwn,2023-02-15,4,wage employed,1035.0,Urban,Mpumalanga,,,,,,,,,,0,1,1992,8,0
